Year,International Name,PAGASA Name
1980,Joe,Nitang
1980,Kim,Osang
1980,Lex,
1980,Marge,
1980,TD,Paring
1980,Norris,Reming
1980,TD,Seniang
1980,Orchid,Toyang
1980,Ruth,
1980,Percy,Undang
1980,Sperry,
1980,TD,Basiang
1980,Dinah,
1980,TD,Kayang
1980,Betty,Aring
1980,Cary,Yoning
1980,Ed,Dorang
1980,Wynne,Welpring
1981,TD,Atring
1981,Freda,
1981,Gerald,
1981,Holly,
1981,Ike,Bining
1981,June,Kuring
1981,Kelly,Daling
1981,Lynn,Elang
1981,TD,Goring
1981,Maury,Huling
1981,Nina,Ibiang
1981,Ogden,
1981,TD,Luming
1981,11W,
1981,Phyllis,
1981,Roy,Miling
1981,Susan,
1981,TD,Narsing
1981,Thad,Openg
1981,Vanessa,
1981,Warren,
1981,Agnes,Pining
1981,Bill,
1981,Clara,Rubing
1981,Doyle,
1981,Elsie,Tasing
1981,TD,Saling
1981,Fabian,Unsing
1981,Gay,Walding
1981,Hazen,Yeyeng
1981,Irma,Anding
1981,Jeff,Binang
1981,Kit,Kadiang
1981,Lee,Dinang
1982,Mamie,Akang
1982,Nelson,Bising
1982,Odessa,
1982,Pat,Klaring
1982,Ruby,
1982,Tess,Deling
1982,Val,Deling
1982,Skip,
1982,Winona,Emang
1982,TD,Gading
1982,TD,Heling
1982,Andy,Iliang
1982,Bess,
1982,Cecil,Loleng
1982,Dot,Miding
1982,Ellis,Oyang
1982,Faye,Norming
1982,Gordon,
1982,Hope,Pasing
1982,Irving,Ruping
1982,Judy,Susang
1982,Ken,Tering
1982,Lola,
1982,Mac,Uding
1982,Nancy,Weling
1982,TD,Yaning
1982,Owen,
1982,Pamela,Aning
1982,Roger,Bidang
1983,Sarah,
1983,Tip,Auring
1983,Vera,Bebeng
1983,Wayne,Katring
1983,Abby,Diding
1983,Ben,
1983,Carmen,Etang
1983,Dom,Gening
1983,Ellen,Herming
1983,Forrest,Ising
1983,Georgia,Luding
1983,TD,Mameng
1983,Herbert,Neneng
1983,Ida,Oniang
1983,Joe,Pepang
1983,Kim,Rosing
1983,Lex,Sisang
1983,TD,Trining
1983,Marge,Uring
1983,Norris,
1983,Orchid,Warling
1983,Percy,Yayang
1983,Ruth,Ading
1983,Sperry,Barang
1983,Thelma,Krising
1983,TD,Dadang
